time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1699	1.32614	5.16857	0.202538	0.143936	radar	5.15462	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3941	1.40447	5.12913	0.220673	0.15384	lidar	1.31119	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6245	1.47513	4.95482	0.235448	0.160519	radar	3.57317	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8451	1.51318	4.91668	0.237046	0.154973	lidar	0.89528	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1136	1.56394	5.02566	0.23977	0.150377	radar	2.12743	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3937	1.61855	5.08141	0.243004	0.146565	lidar	1.97421	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6239	1.67142	5.00646	0.248475	0.145112	radar	0.653215	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8522	1.73832	4.98601	0.258177	0.147235	lidar	0.289341	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.112	1.82318	5.11051	0.270609	0.15131	radar	1.62142	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3538	1.86401	5.09281	0.268838	0.143399	lidar	0.438193	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6111	1.92771	5.18142	0.273006	0.140637	radar	0.730084	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8152	2.04909	5.13226	0.300185	0.157791	lidar	3.64115	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0865	2.15241	5.282	0.314054	0.162486	radar	3.05859	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.295	2.28436	5.239	0.341654	0.179091	lidar	3.24247	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.475	2.39919	4.98533	0.366135	0.193245	radar	11.9895	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7254	2.52303	5.03105	0.385103	0.201138	lidar	1.2451	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.947	2.62189	4.98732	0.397513	0.203324	radar	0.298752	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1781	2.77713	5.02354	0.425974	0.218905	lidar	1.68027	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4308	2.88615	5.156	0.434534	0.216224	radar	1.08681	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6333	2.97622	5.09708	0.4422	0.213569	lidar	1.81509	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8698	3.11847	5.18608	0.461492	0.220577	radar	4.05962	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0842	3.30782	5.21114	0.497186	0.241741	lidar	2.59396	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2996	3.45215	5.118	0.518043	0.250061	radar	3.40342	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5165	3.6459	5.16157	0.551421	0.268007	lidar	2.03228	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7288	3.76975	5.11751	0.562148	0.26594	radar	0.689316	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9476	3.93159	5.1425	0.582345	0.271878	lidar	0.331955	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1467	4.0726	5.00893	0.599526	0.276094	radar	1.8847	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3439	4.27677	5.05254	0.632951	0.292987	lidar	1.72912	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5571	4.43109	5.08084	0.646844	0.292228	radar	0.515667	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7317	4.61263	5.07022	0.673443	0.302533	lidar	1.11585	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8927	4.76768	4.82847	0.697195	0.312247	radar	4.45795	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
